Nombre,Tipo,Equipamiento,Duracion(min),Calorias,Descripcion
Burpees,Cardio,Ninguno,5,150,"De pie, agachate y apoya las manos en el suelo. Lanza las piernas atras para quedar en posicion de plancha. Haz una flexion (opcional), vuelve las piernas hacia las manos y salta explosivamente hacia arriba con los brazos extendidos."
Press Arnold,Fuerza,Mancuernas,4,100,"Sentado, sosten mancuernas con palmas hacia ti. Al presionar hacia arriba, gira las munecas hasta quedar con palmas hacia adelante. Baja controladamente."
Plancha con pies en banco,Core,Banco,3,90,"Apoya los pies en el banco y los antebrazos en el suelo. Manten posicion de plancha con core activo."
Remo invertido en banco,Fuerza,Banda elastica;Banco,4,90,"Acostado boca arriba bajo un banco (agarrando sus bordes con las manos). Tira del cuerpo hacia arriba hasta que el pecho toque el banco, manteniendo el cuerpo recto. Baja lentamente."
Rotacion rusa en banco,Core,Banco,3,65,"Sentado en banco, inclinate atras y gira torso llevando una mancuerna de un lado a otro."
Curl Zottman,Fuerza,Mancuernas,3,80,"Haz curl de biceps con palmas hacia arriba. En la parte alta, gira las munecas hacia abajo y baja controladamente con agarre prono."
Escalador lateral,Cardio,Ninguno,4,110,"En posicion de plancha alta (manos bajo hombros), lleva alternadamente las rodillas hacia el pecho a alta velocidad, como si escalaras. Manten el core activo para evitar que las caderas se eleven."
Peso muerto rumano con banco,Fuerza,Mancuernas;Banco,4,110,"De pie frente a un banco con mancuernas. Hinge en las caderas (empuja gluteos atras) para bajar las mancuernas hasta tocar el banco. Vuelve a la posicion inicial contrayendo gluteos."
Pull-apart,Fuerza,Banda elastica,2,50,"Sosten banda con brazos extendidos frente a ti. Abrela hacia los lados hasta que toque el pecho."
Sentadilla pistol,Fuerza,Ninguno,4,95,"De pie, extiende una pierna al frente. Baja en sentadilla con la pierna de apoyo. Ayudate con pared si es necesario."
Press de pecho declinado,Fuerza,Banco;Mancuernas,4,110,"Acostado boca arriba en banco declinado, presiona mancuernas hacia arriba con control."
Bird dog,Core,Ninguno,3,70,"A cuatro patas (manos bajo hombros, rodillas bajo caderas). Extiende simultaneamente el brazo derecho y la pierna izquierda hasta quedar paralelos al suelo. Manten 2 segundos y cambia de lado."
Monster walk,Fuerza,Banda elastica,4,80,"Coloca banda alrededor de tobillos. Camina lateralmente en cuclillas manteniendo tension."
Flexion diamante,Fuerza,Ninguno,3,90,"Manos juntas bajo el pecho (dedos indices y pulgares formando un diamante). Haz flexiones manteniendo los codos pegados al torso, enfocandote en los triceps."
Step-up con press,Fuerza,Mancuernas;Banco,4,130,"Frente a un banco con mancuernas a la altura de los hombros. Sube con el pie derecho al banco y simultaneamente empuja las mancuernas hacia arriba. Baja controladamente y repite alternando piernas."
Elevacion de gemelos en banco,Fuerza,Mancuernas;Banco,2,60,"De pie sobre un banco con los talones colgando, sosten mancuernas a los lados. Eleva los talones lo maximo posible, manten 1 segundo y baja controladamente."
Crunch con banda,Core,Banda elastica,3,60,"Sujeta banda detras de la cabeza. Haz crunch anadiendo resistencia al subir."
Plancha con remo,Fuerza,Mancuernas;Banco,3,110,"En posicion de plancha alta con las manos sobre mancuernas (apoyadas en el banco para mayor estabilidad). Alterna levantando cada mancuerna hacia la cintura, manteniendo las caderas niveladas."
Salto al banco,Cardio,Banco,3,120,"De pie frente al banco, salta explosivamente subiendo ambos pies al banco. Baja con control."
Russian twist,Core,Mancuernas,3,80,"Sentado en el suelo con las rodillas flexionadas, inclinate ligeramente atras manteniendo la espalda recta. Gira el torso llevando una mancuerna de un lado a otro, tocando el suelo en cada repeticion."
Hollow hold,Core,Ninguno,3,60,"Acostado boca arriba, levanta piernas y hombros del suelo (brazos estirados hacia atras). Solo la zona lumbar debe quedar apoyada. Manten la posicion contrayendo el abdomen."
